label,sentence
4,「10年付き合っている彼が、無職に…」 - 辛口説教部屋 vol.48
7,「愛はないけど嫌いじゃない」離婚に踏み切らない女たちの本音
8,2つのシンセで強烈サウンドも思いのまま！実用的に作り込まれた良シンセアプリ「Magellan」【iPadアプリ】
8,タブレットの常識を覆す超軽量249gを実現！Xi、ワンセグにも対応した「MEDIAS TAB UL N-08D」を写真と動画でチェック【レポート】
1,意外と知らないExcel技を紹介！ 他人と差をつけるExcel技特集【知っ得！虎の巻】
4,【Office Scope vol.07】カッコよさと働きやすさが調和するこだわりのワークスペース（株式会社エフアイシーシー）
1,PCを使いこなす小技が満載！　裏技やOffice系アプリ使いこなしまでを振り返る【知っ得！虎の巻】
5,観光＋αが新しい、フランスでオーガニックワインを体感するツアー
6,吉田沙保里、旗手のジンクス破る金メダル「何もいうことはない」
1,何で誰もやらなかったの？  重ねるだけで容量を増やせるモバイルバッテリー
0,ファン必見！『ダークナイト ライジング』のアクション満載のテレビCM映像が公開
4,プロドライバーが伝授するデートで使えるドライビングテクニック
7,「復活愛」をきっぱり諦めるには？
2,クリスマスはテレビを見よう！実は恋人と過ごす人はたった18.6%…切ない夜を笑いで吹き飛ばしたい人は「すべらない話」第21弾がオススメ【クリスマス】
5,インタビュー：御影倫代「仕事が好きだから、家でも仕事の話がしたい！」
0,ルール無用の一匹狼がゲイの警官とバディに「同性愛恐怖症じゃないのは素晴らしい」
8,“JellyBean”のOSバージョンはAndroid 4.1！Galaxy Nexusに最初に提供される予定
5,【終了しました】オーストラリアワイン『ジェイコブス・クリーク シラーズ・カベルネ750ml』を3名様にプレゼント
7,その後の結婚生活を占う披露宴での費用分担
8,動画で見るNTTドコモ向け2012年夏モデル！Androidスマートフォン＆タブレット18モデルをまとめて紹介
1,スマホ対応も進んで続々と機能アップ！進化するクラウド型ストレージサービス【デジ通】
8,全国約2000ヵ所の夜景スポットを網羅した夜景ガイドアプリの決定版「夜景ワールド　全国ドライブ＆デートスポットガイド」【Androidアプリ】
3,のりピー復帰なら「紳助もOK」という声も
4,女性が求める「優しさと強さ」という普遍性
7,美しすぎる40代“美魔女”の正体とは
4,年収1000万円のビジネスマンに聞いた「就活生に勧めたい企業ランキング ベスト30」 - 年収1000万円研究所 vol.4
7,恋愛相談で頼れるのはアノ友人
7,放っておけない！　長年「好きな人がいない」理由とは？
2,ライオン、極細高密毛と音波振動でくすみを落とす「プラチアス　歯の美容クリーナー」などを発売【売れ筋チェック】
6,【Sports Watch】自らの悪事を堂々とブログに掲載する高校球児達
1,Windows8、Retina Mac情報　PCの情報に精通するデジ通の原点【デジ通まとめ】
7,気になる既婚女性の働き方！在宅で働くってどんな感じ？
3,橋下徹大阪市長の快進撃に賞賛の嵐
8,SCE、PlayStation Suiteを「PlayStation Mobile」に名称変更！新しくHTCも参入決定
2,さんまには教えなかった「老後」について、ついにメッシが語った！【話題】
1,レガシーデバイスをさらば！名実ともに次世代のMacBook Pro 【デジ通】
4,「仕事ばかりの毎日で出会いがない・・・」 - 辛口説教部屋 vol.36
6,【Sports Watch】“真央に暴言” ラサール石井が改めて謝罪するも「ほとぼりを冷ます」に疑問の声
2,ツイッターやミクシィ、フェイスブックでかわいいクリスマスメッセージを送って被災地支援！【クリスマス】
3,いじめ問題で無関係の女性を晒したデヴィ夫人に「自業自得」
6,栗山氏、日本ハム監督就任報道に「本当に正式な話が僕の方にはきていない」
3,中国の倫理を問う韓国に批判
1,USB3.0対応で爆速データ転送！　9倍速のリーダー／ライター登場
5,今、大人気の東芝LED＜レグザ＞プレゼント！ 働く女子のお部屋時間にスタイリッシュな地デジテレビ
0,【いちおう妖ヶ劇場】第12話：ミニサイズになって体内を“見に”行くぞの巻
6,仲田歩夢と似ていると話題、ベンチで一際可愛いヤングなでしこ
6,なでしこ美人解説者、支離滅裂な応答に弁明
5,あなたの打たれ強さ度は?／イイ女を作る朝型生活など−【ライフスタイル】週間ランキング
7,美容整形の志願者が次々と自己紹介をすることに
2,テストレポート フジフイルムX10【ビデオSALON】
7,人ごとだから笑える！？独女と母親との関係
3,“辛ラーメンにゴキブリ”ネットで話題に
5,映画「ココ・シャネル」とのタイアップで生まれた極上スイーツが期間限定発売
5,宮坂絵美里が“美”をレクチャー　「ビューティ・キャンプ・メソッド 2010」
8,Wi-Fiを身にまとってタブレットを使いこなせ！UQの「DATA08W」とiPadでモバイルタブレットに挑戦【レビュー】
6,ネイマール、バルサ移籍を直訴？
1,総勢20名を大募集！「feel Windows」オープン記念第一弾のレビューアー募集中
3,日本の中学生の“韓国語”授業に猛反発
2,夏場は扇風機になるダイソン羽根なしヒーター！
6,【Sports Watch】斎藤佑樹はプロで通用するのか？
7,癒し？それともドキドキ？女が美容室に求めるものとは
7,子育ては姉妹や友だちと二人三脚で！？
1,アナタはどっち派？「谷間」対「太もも」　じわじわ広がる「#女子ふともも晒し祭り」
3,AKB48・篠田麻里子の前田敦子に対する“顔面イジリ”が話題に
7,言うに言えない！　突然Ｈを断ってしまった理由
1,315gの最軽量スキャナも登場！PCレスでスキャンデータを活用できる「ADS-2500W」
3,告訴されたキム・ヨナ、教員資格実習でのトラブルが原因か
7,古き良き日本文化を伝承する「お正月ニッポンプロジェクト」に注目
0,【速報】「第84回アカデミー賞」ノミネート発表、『ヒューゴの不思議な発明』が最多11部門
7,【終了しました】健やかで美しい髪を手に入れる「アヴェダ インヴァティセット」を2名様にプレゼント！
3,いいとも!で紹介された乳児の名前が「凄まじい！！」と話題に
1,マイクロソフトのタブレットPC　Surfaceは売れるのか？ 【デジ通】
5,旅先や女子会の楽しい様子も手軽にビデオムービーでシェア！
5,横浜を見下ろすエレガントなお部屋で過ごすロマンチックナイト
8,ソフトバンク、福岡県限定のキャンペーン「燃えろ！VV終盤戦キャンペーン」を9月1日から開始
5,【終了しました】リーガロイヤルホテル（大阪）のイタリアンレストランがリニューアル！ ランチに3組6名様をご招待
0,【週末映画まとめ読み】米国版“ガリレオ”、美人すぎる女スパイ・・・今、海外ドラマがアツイ！
8,【初心者必見！これからスマートフォンを持つ人、まだ持ちはじめたばかりの人への解説書、Androidスマートフォンを使うための超解説！Androidの使い方特集】
4,イケア、8月1日を「やっぱり家の日」に制定
3,生活保護受給をめぐり物議を醸す河本親子に法的措置の可能性を示唆
5,脱マンネリ！ 定番女子会をランクアップ
1,ゲーム感覚でアメリカの地理が学べる！全米アプリランキング教育部門で2位獲得の「Stack the States」【iPhoneでチャンスを掴め】
1,書式を再利用　手間を省いて見栄えを整えるWordワザ【知っ得！虎の巻】
2,iPhone5の発表に期待！　毎年恒例Apple WWDCは6月11日から開催【ニュース】
7,【独女的コミックレビュー】vol.7 新婚の夫は12歳！　年下ダーリンに惚れる『乙嫁語り』
7,バイキングという食文化をどう思う？
3,【韓国ニュース】韓国ネット掲示板で広まる桜韓国起源説　「花見をする時は韓国に感謝しろ」の声も
4,外資系ITコンサルティング会社 マネージャー「年収を上げるなら、今後伸びるニッチな会社」 - 年収1000万円プレイヤー図鑑 vol.12
4,結局みんなスマホで何やっているの？ “それぞれのスマホ事情調査”
8,クアッドコアCPU搭載！超ハイスペックスマートフォン「ARROWS Z ISW13F」を写真と動画でチェック【レポート】
6,【Sports Watch】菊池雄星、定まらない投球フォームに頭抱える
2,iPhoneの値段が高すぎる！　急成長するブラジルに家電メーカーが国内工場や子会社を作るわけ【話題】
6,【Sports Watch】話題の美人姉妹が直接対決
6,ドラフト会議の日本ハムに称賛の嵐「これぞドラフトの醍醐味」
2,やっぱりマリオはスーパーだった？　任天堂をマリオが救う！【話題】
0,桐谷美玲が“美食”をテーマに新CM出演、CM曲はmoumoon
0,山田孝之と小西真奈美の映画に撮影していない“あるモノ”が映り込んでいた
6,「何度目の急浮上だよ」松井ドジャース移籍の報道に冷めた声
5,プロ直伝リンパマッサージ法／男の浮気を防ぐ一言など−【みんなのお気に入り記事】週間ランキング
6,元日本代表・久保の長女が「かわいい」と評判
6,【Sports Watch】浅草ペアの解散報道、“草野の不満はこの日に始まった話ではない”
6,【Sports Watch】斎藤佑樹が“イチロー化しつつある”
7,海外セレブ注目のミラクルフード“亜麻の実”の美的効果とは？
0,いま話題の人気アイドルたちが、一夜限りの大共演
8,今日の運勢は？タロットで占おう！「タロットby Hangame」【Androidアプリ】
0,インタビュー：鼠先輩「こう見えて脱獄経験なし」
2,すべてのパソコンは中華圏が握る？【デジ通】
8,東京スカイツリーを好きな色でライトアップしちゃおう！「夜のスカイツリー 〜 ライトアップ時計デザイナー 無料」【iPhoneアプリ】
3,“金総書記死亡”に対する韓国での反応
5,佐々木希さんが美脚スタイルを披露！　「タイツを履くのがすごく上手」
3,香川照之、市川海老蔵から演技指導も!?
7,話題のタニタ食堂へ行ってみた！
7,ゆるキャラ、ネクストジェネレーション
4,外資IT企業 セールス統括「30代半ばで年収1900万円突破」 - 年収1000万円プレイヤー図鑑 vol.14
4,TGCというビジネス[前編]｜モード系非リア充男子がTGCに行ってみた
7,友達が多い人って、実は性格がよくない！？
8,NTTドコモ、spモードメールアプリをバージョンアップ！メールが送受信できない場合があるなど複数の不具合を改善
1,新iPad時代の定番はコレだ！iPhoneとiPadを同時充電＋ステレオスピーカー内蔵スタンド【イケショップのレア物】
6,【Sports Watch】野村監督から重大発表!? 視聴者欺くTBS
6,【Sports Watch】アントニオ猪木、幻の試合映像が公開
1,アップルに対抗できるのか? マイクロソフトの独自タブレット【デジ通】
5,恋に効くコラムLesson6　熱しやすく冷めやすい男性がすべきこと
1,もっと便利な語学学習を！！NHK出版の「語学プレーヤー」【iPhoneでチャンスを掴め】
7,広がるおひとりさまの行動網！一人でライブ参戦！
7,ムダな抵抗！？ 加齢の現実
4,＜コラム＞世界中でRIFEパター旋風【ゴルフ特集】
7,独女はピンとこない？ 紗栄子さんがネットで嫌われる理由
1,世界戦略が重要なゲーム市場 E3 2012で注目の新戦略【デジ通】
1,国内向けスマホではアップデートが提供されない端末も！ Android端末選択指南【デジ通】
6,柔道・松本薫 「男性が近寄ってこない」
2,11月号 別冊付録 キヤノン iVIS HF G10 Perfect Book【ビデオSALON】
6,ソフトバンクのファン感謝祭に″あり得ない″の声
6,新記録でロンドンに乗り込む“バタフライの女王”加藤ゆか
3,当時18歳の沢尻エリカ、暴力団幹部とVIP席で堂々の大騒ぎ
1,"毎月1,500円がタダ！お金をかけずにドラマや映画を見まくる方法"
5,実は今が転職のチャンス！　薬剤師の転職市場
3,「就職に強い大学ランキング」発表も、驚きの結果に
5,クリスマスプレゼントの予算は自分＞彼氏！？　LUSHで暖かい贈り物を
8,Windows Phoneに“ヤラレタ”人多数！？「Windows Phone スピード チャレンジ！」を旅祭で開催
5,カラーセラピスト石井亜由美さん「上手な黒の使い方で、恋も仕事も運気アップ！」
0,ついに鎖ははずされた。ディカプリオの悪すぎるカオがヤバい、『ジャンゴ』米版予告編が公開
1,バックアップをより手軽に便利に！　最新バックアップソフトの試用企業を募集
2,テレビにはもう頼れない？　シャープ通期2900億円の赤字に転落【話題】
7,東京23区女ひとり風呂　vol.11「千代田区・ひとり見世物小屋」presented byゆるっとcafe
3,倖田來未の「羊水発言」を擁護する声が続出
4,クルマ色話 vol.4【ホンダ・フィットシャトル】微妙に男心をくすぐるＯＬみたいなクルマ!?
8,カスタマイズ性良し！使いやすい多機能Twitterクライアント「twitcle」【Androidアプリ】
2,時間つぶしに有効？　ゲーセンに設置されている一人用カラオケボックス【話題】
7,「別居したら夫を好きになれました」Presented by ゆるっとcafe
1,いつでもどこでも自分専用環境！Windowsトラブル時にも使えるUbuntu【デジ通まとめ】
6,【Sports Watch】“満塁男”駒田氏が、最近の虐待事件に怒り露わ
7,あるある！「恋のおまじない」
1,来たぜ！お祭り第3弾！GIGABYTE板祭でZ77マザーのレビューアーを大募集
5,美しい40代がニッポンをアゲる！　国民的“美魔女”コンテスト開催
2,企業も大注目！　クールなガジェットが好きな女子が急増中【話題】
1,孫社長が新スマホを大々的に宣伝！放射線測定スマホを開発した理由
5,韓国毛穴ケアコスメ、夏の肌をタマゴのようなツルツル肌にしよう！
0,三池監督が映画『一命』について「満島ひかりがいろんな意味で限界までやっている」
1,より強く！より最強に！ 無敵Galaxy Noteをさらに強くする【イケショップのレア物】
5,夜中に食べても安心？「油で揚げない」ポテトチップス
5,文房具もキラキラに！　加速する最新の“デコ”トレンドは？
5,バレンタイン当日の愛されドレスは、レンタルがトレンド！
3,「竹島」「日本海」表記問題で再びフジテレビに批判殺到
1,見積書や企画書を移動中にチェック！　GoogleドライブにAndroidからアクセス【知っ得！虎の巻】
0,“家族愛”の優しい雨が降り注ぐ『おおかみこどもの雨と雪』
8,KDDI、世界初Android 4.0搭載STB「Smart TV Box」をケーブルコンベンション2012に出展！機能詳細やスペックも公開
6,“スーパー女子高生”土井、陸上界の美女アスリート市川＆木村らが意気込み語る
3,精神科医・香山氏の反論に「みっともない言い訳」
6,【Sports Watch】巨人期待の右腕＝澤村、チームメイトが意外な一面を明かす
5,LINEにも登場！資生堂「ワタシプラス」でスキンケアサンプルをプレゼント
3,“就職先人気企業ランキング2012”の商社人気に疑問の声
2,レイプ犯がFacebookから逮捕！　犯人が警察に絡み、場所が判明【話題】
8,スマホで音楽専門番組を24時間聴き放題！「ListenRadio：ラジオ音楽番組 視聴アプリ」【Androidアプリ】
4,手のひらに載る本格派 LUMIX G2のGはグレートだ
0,インタビュー：マックG監督「リメイクしたい日本のアニメは『AKIRA』かな」
5,小雪と8歳年下の松ケンとの結婚にみる”年下君”の魅力
4,「出会いをチャンスに変える方法がわかりません」 - 辛口説教部屋 vol.55
2,パナソニックが交通事故のない未来へ大きな一歩—夜間や悪天候でも車両と人をクッキリ検出できるミリ波レーダー技術を開発【話題】
4,「自分に向いている仕事が分かりません…」 - 辛口説教部屋 vol.30
8,NTTドコモ、Optimus it L-05DにGoogle Playでコンテンツ決済が利用できない不具合でソフトウェア更新を提供開始
1,大切な投稿を見逃さない　Facebookに親友の投稿だけを表示する【知っ得！虎の巻】
1,写真補正がワンタップでできるアプリ！ SnapDishがlivedoorブログと連携
6,【Sports Watch】日本代表・細貝、人気モデルと結婚を発表
2,すっぴんで写ってもコフレドールの色味でメイクしてくれるパナソニック「ＬＵＭＩＸ　ＤＭＣ−ＦＸ８０」—コラボキャンペーンのヒミツが2月16日から解禁【話題】
2,【話題】話題のｉＰｈｏｎｅ５、１０月４日に米アップルが発表か
0,ディズニーが創り上げてきた4つの“夢”の世界
6,Ｊトライアウトに元日本代表選手も。過酷な生存競争如実に
0,藤原竜也、杏ら日本の俳優のスケールでは宇宙に行けない
3,片山さつき氏、吉本興業に「『はぁ？』という感じの返事をされた」
4,多忙なビジネスマンに——、ポッコリお腹はサプリメントで対策を【新生活特集】
5,フルーツの香りにお肌もうっとり、韓国のフルーツ系クレンジング
0,ピクサーが仕掛ける新たな挑戦とは？
5,向井理さんの「今の時間帯だと言えない」ヒミツ
0,大泉洋がライオンを挑発「どうしたBOY？ かかってこいよ」
7,試してガッテン!? 独女たちの民間美容法
6,K-1ファイトマネー未払い問題に突然の告白「被害は日本人でナンバー2」
1,ペットの「拾いもの」に福あり！ スマートペット育成記 （5）【デジ通】
2,ルフィとチョッパーが充電池に！「EVOLTA」が人気アニメ・ワンピースとコラボ
0,小栗旬は“使えない若者”、映画『キツツキと雨』の特報映像公開
6,【Sports Watch】巨大地震、サッカー、プロ野球、格闘技など試合が中止（延期）に
0,グラドル紗綾がセクシーな甲冑に身を包む！　『スパルタカス』のキャンペーンガールに決定
0,【GOGW映画 友人編】全長500メートルの敵が現れたらどうするのが正解？ 『タイタンの逆襲』
5,大人の彼は、世界発のアルコールショコラで魅了！
8,NTTドコモ、GALAXYシリーズのAndroid 4.0へのOSバージョンアップにおけるFlash Playerの扱いに対する注意事項を案内
5,崩れ知らずのベースメイクテク／男運をUPさせる生活習慣など−【お気に入り登録記事】週間ランキング
5,浮気中の男の行動パターン／同棲中にやってはいけないNG行動など−【恋愛】週間ランキング
2,絨毯もフローリングもスチームで「洗う」ＦＳＭ１２００【売れ筋チェック】
0,インタビュー：クリスチャン・ベール「演じることができるのは役者だけ」
2,映画表現育成協会主催 プロモーションビデオ制作講座、受講生募集【ビデオSALON】
5,キーワードは「カワイク＆賢く！」イマドキスマホ女子に人気のスマホグッズ紹介
8,NTTドコモ、Xi対応Android 4.0 ICS搭載スマートフォン「ELUGA power P-07D」を発表！1.5GHzデュアルコアCPUや5インチHD液晶、おサイフ、防水・防塵
7,20〜30代男女の7割が“飲みたい”夏の風物詩
7,元彼からの指輪を愛用する女ゴコロ
5,仕事を辞めたくなる瞬間／生理前のムラムラが起こした珍事件など−【ライフスタイル】週間ランキング
2,通話相手の存在感を伝える抱き枕『ハグビー』—ヴイストン ロボットセンター 東京秋葉原店で2012 年4 月27 日〜5 月27 日に展示【話題】
7,【オトナ女子映画部】「花より男子〜Boys Over Flowers」
2,いきいきとした表情をリアルに撮る方法を紹介！　オーストラリアの動物を撮影してきました【カメラ生活】
8,サムスン電子、NTTドコモ向け「GALAXY Note SC-05D」のAndroid 4.0 ICSへのOSバージョンアップを8月中に対応予定
3,やくみつるさんの「DeNAが許せない」発言に批判殺到
4,電気シェーバーのブラウン「Series7」790cc-4LDE／新製品レビュー
1,何だこの計算器みたいなの？ Googleロゴが怪しい計算尺みたいになっている理由
2,クリスマスはテレビを見よう！　クリスマスを恨めしく思う女子はイブの夜に「祝女」スペシャルがおすすめ【クリスマス】
1,我が家の電波状況も良くなるかな？孫社長 格言的な言葉が話題
0,“無名の新人”ルーニー・マーラ、大女優と並びアカデミー主演女優賞にノミネート
2,日立からホール・大会議室向け高輝度液晶プロジェクター新発売【売れ筋チェック】
8,世界中の格言・名言を再確認してみよう！「格言名言Free」【iPhoneアプリ】
4,美女たちの本音と建前、ムカつく勘違い女にはお仕置きを
2,【話題】人気のエネループにおいしそうなシリーズが限定登場！
4,車庫からガレージへ　オトコ心をくすぐるガレージアイテム
1,進化し続けるMac狙うマルウェア 【役立つセキュリティ】
1,「ソブリン危機」をiOSで体感せよ！ 国の借金をリアルタイム表示【デジ通】
6,【Sports Watch】ヴェルディ財政難に、ラモスが悲痛の訴え
8,ソフトバンク、Desire X06HTおよびX06HTIIにおける緊急地震速報への対応を断念
8,メイドさんの経験値を上げレベルUPしよう！育成要素も加わった「メイドさんライブ壁紙」【Androidアプリ】
2,ゆっくりなのがたまにキズ？　「USBあったかオニギリ ウォーマー（USBHTOW1）」に注目【売れ筋チェック】
0,【編集部的映画批評】映画『るろうに剣心』は原作ファンに斬られるのか？
0,杉良太郎「いじめとか自殺とか教育が全然できていないので、ドラマを通じて何が大事か描きたかった」
6,【Sports Watch】田中と岩隈、ノムさんが考える楽天開幕投手は？
3,黒田勇樹のDV騒動 ネット掲示板では冷ややかな声も
6,米メディア「マンUは本田圭佑を獲得すべき」
7,元彼に執着する女は占い好き？
0,『ロード・オブ・ザ・リング』の過去を描く『ホビット』予告映像が公開
8,Google、最新プラットフォーム「Android 4.1 Jelly Bean」を発表！7月中旬からアップデートを提供予定
4,"話題の3Dビデオカメラ、15,000円の大型キャッシュバックキャンペーンを実施中"
5,【終了しました】おいしいアルカリイオン水で体の中からキレイに。パナソニック「アルカリイオン整水器」を2名様にプレゼント
3,AKB48の人気メンバーの“キスの香り付き”写真に「気持ち悪い」と批判相次ぐ
1,Windowsユーザーにはイマイチ？ アップルの「iCloud」【デジ通】
7,驚異の保水力を持ったプロテオグリカンで夏こそ肌に潤いを！！
8,NTTドコモ、MEDIAS X N-07Dに充電やバックライト抑制などの制御時の通知を最適化するなどでソフトウェア更新を提供開始
5,女を磨く“植物学”入門 Vol.3　ハーブを暮らしに取り入れる
3,女性教授が男子生徒に「なめるな」「テクニシャン」などと発言し提訴される
6,【Sports Watch】元日本代表・北澤氏「負けなくて良かった」
6,【Sports Watch】セルジオ氏がバッサリ「全く収穫がない」
8,ソフトバンク、プラチナバンド対応Android 4.0 ICS搭載スマートフォン「ARROWS A 101F」を発表！ULTRA SPEEDやスマート指紋センサーなど対応
8,売れ筋人気スマホアクセサリーは？ワイヤレスジャパン2012に出展中のRASTA BANANAブースをチェック【レポート】
2,残暑の日射しでビールがうまい！太陽光発電のビアガーデン
0,『ベルセルク』のガッツ、グリフィス、キャスカの主要3キャストがアフレコ会見で勢揃い
7,ブログやSNSで娘の日々を知る時代！？
5,春に向けてドコ磨く？ パーツエステでディテール美人
8,推しメンを育てるのは難しい？GREEからアイドルをプロデュースするカードゲーム「IDOL J@M」が登場！100人以上のアイドルが出演するゲームの攻略法をちょっとだけ教えます【ハウツー】
2,逆切れ？　初コメント？　母親の生活保護不正受給疑惑、河本準一がツイッターのプロフィールを変更【話題】
3,アップルiOS6 地図アプリの「竹島」表記に韓国ネット掲示板で「アップル、ボイコット！」の声
8,格好いいグラフィックと音楽でブロック崩し「3Dブロック崩し アルテミス(無料)」【Androidアプリ】
6,アクション女優も顔負けの美女空手家＝宇佐美里香
7,東京23区女ひとり風呂 vol.04「文京区・銭湯後はこの一杯！」Presented by ゆるっとcafe
0,ジョニデ＆バートン監督が贈る“フツー”じゃないファミリーとは？
6,【Sports Watch】親友でもありライバルでもある2人の美人スイマー
1,いい大人が癒やされたくなった！ スマートペット育成記 （1）【デジ通】
0,【いちおう妖ヶ劇場】第1話：お嬢様が妖怪アパートへ用かい？の巻
2,年末商戦大ピンチ！タイの大洪水でHDDの価格高騰、品不足の恐れ【話題】
7,がんばる女子にもエナジーを！ カラダに染みわたる“自分ご褒美”はいかが？
1,文字が超きれいなRetina Mac！文字にこだわるならこれしかないでしょ【デジ通】
2,感覚・体験を共有する　タッチ・インターネットが拓く未来（完）【テレスコープマガジン】
4,ランナーデビューをサポートするビジネスマン必見アイテムとは？【新生活特集】
2,大人だって可愛いお腹に癒される！　タカラトミー「おやすみ　グーグーフレンズ　くまのプーさん」新発売【売れ筋チェック】
6,【Sports Watch】スウェーデンも戦々恐々、澤穂希の鉄人すぎる逸話
2,流行のミラーレスカメラがニコンからもついに！「Nikon 1 J1」「Nikon 1 V1」が発表
3,ユニクロ柳井社長の「人間のピークは25歳」発言に非難轟々
4,iPhone対抗の本命 最新のAndroid「Desire」の実力
4,フォーエバー２１来店者数が４００万人突破
0,宮迫＆ゴリがツリーに点灯失敗「得する涙が流せる、最高の映画」
0,“夢を追う”子供と“夢を諦めさせる”親の気持ち
0,【GOGW映画 家族編】ジブリじゃないのにジブリのような温かさ『ももへの手紙』
7,このままじゃ婚期を逃す!?　趣味に走るオタク独女
1,無料で情報収集＆発信できる次世代SNS「tumblr」を活用する【知っ得!虎の巻】
5,まつゆう*お気に入りの隠れ家ガイド
6,【Sports Watch】TBSの新スポーツ番組はどうだった？（2）野村×ラモスが言い合いに
6,潮田玲子、“イケシオ”結成後の苦難を振り返る
2,11月号記事連動「音の編集講座」〜ピッチとスピード【ビデオSALON】
8,コスプレイヤーの応募作品をそのままアプリに！コスプレフォトの世界が楽しめる「CosplayClock コスプレ時計」【iPhoneアプリ】【iPadアプリ】
1,ニコニコ超会議で気になった小ネタを写真で紹介
